Domain,Area,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value
Producer Prices,Bulgaria,Producer Price (USD/tonne),1212,Cabbages,2019,2019,7021,Annual value,USD,0.19
Producer Prices,Bulgaria,Producer Price (USD/tonne),1212,Cabbages,2020,2020,7021,Annual value,USD,0.2
Producer Prices,Bulgaria,Producer Price (USD/tonne),1212,Cabbages,2021,2021,7021,Annual value,USD,0.28
Producer Prices,Bulgaria,Producer Price (USD/tonne),1212,Cabbages,2022,2022,7021,Annual value,USD,0.23
Producer Prices,Bulgaria,Producer Price (USD/tonne),1212,Cabbages,2023,2023,7021,Annual value,USD,0.26
Producer Prices,Bulgaria,Producer Price (USD/tonne),1251,Carrots and turnips,2018,2018,7021,Annual value,USD,0.24
Producer Prices,Bulgaria,Producer Price (USD/tonne),1251,Carrots and turnips,2019,2019,7021,Annual value,USD,0.29
Producer Prices,Bulgaria,Producer Price (USD/tonne),1251,Carrots and turnips,2020,2020,7021,Annual value,USD,0.28
Producer Prices,Bulgaria,Producer Price (USD/tonne),1251,Carrots and turnips,2021,2021,7021,Annual value,USD,0.29
Producer Prices,Bulgaria,Producer Price (USD/tonne),1251,Carrots and turnips,2022,2022,7021,Annual value,USD,0.27
Producer Prices,Bulgaria,Producer Price (USD/tonne),1251,Carrots and turnips,2023,2023,7021,Annual value,USD,0.32
Producer Prices,Bulgaria,Producer Price (USD/tonne),1344.02,Cherries,2018,2018,7021,Annual value,USD,0.61
Producer Prices,Bulgaria,Producer Price (USD/tonne),1344.02,Cherries,2019,2019,7021,Annual value,USD,0.63
Producer Prices,Bulgaria,Producer Price (USD/tonne),1344.02,Cherries,2020,2020,7021,Annual value,USD,0.77
Producer Prices,Bulgaria,Producer Price (USD/tonne),1344.02,Cherries,2021,2021,7021,Annual value,USD,0.81
Producer Prices,Bulgaria,Producer Price (USD/tonne),1344.02,Cherries,2022,2022,7021,Annual value,USD,0.81
Producer Prices,Bulgaria,Producer Price (USD/tonne),1344.02,Cherries,2023,2023,7021,Annual value,USD,1.06
Producer Prices,Bulgaria,Producer Price (USD/tonne),1703,"Chick peas, dry",2018,2018,7021,Annual value,USD,0.72
Producer Prices,Bulgaria,Producer Price (USD/tonne),1703,"Chick peas, dry",2019,2019,7021,Annual value,USD,0.28
Producer Prices,Bulgaria,Producer Price (USD/tonne),1703,"Chick peas, dry",2020,2020,7021,Annual value,USD,0.37
Producer Prices,Bulgaria,Producer Price (USD/tonne),1703,"Chick peas, dry",2021,2021,7021,Annual value,USD,0.53
Producer Prices,Bulgaria,Producer Price (USD/tonne),1703,"Chick peas, dry",2022,2022,7021,Annual value,USD,0.77
Producer Prices,Bulgaria,Producer Price (USD/tonne),1703,"Chick peas, dry",2023,2023,7021,Annual value,USD,0.77
Producer Prices,Bulgaria,Producer Price (USD/tonne),1231,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2018,2018,7021,Annual value,USD,0.4
Producer Prices,Bulgaria,Producer Price (USD/tonne),1231,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2019,2019,7021,Annual value,USD,0.43
Producer Prices,Bulgaria,Producer Price (USD/tonne),1231,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2020,2020,7021,Annual value,USD,0.44
Producer Prices,Bulgaria,Producer Price (USD/tonne),1231,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2021,2021,7021,Annual value,USD,0.5
Producer Prices,Bulgaria,Producer Price (USD/tonne),1231,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2022,2022,7021,Annual value,USD,0.48
Producer Prices,Bulgaria,Producer Price (USD/tonne),1231,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2023,2023,7021,Annual value,USD,0.53
Producer Prices,Bulgaria,Producer Price (USD/tonne),1921.02,"Cotton lint, ginned",2018,2018,7021,Annual value,USD,0.41
Producer Prices,Bulgaria,Producer Price (USD/tonne),1921.02,"Cotton lint, ginned",2019,2019,7021,Annual value,USD,0.41
Producer Prices,Bulgaria,Producer Price (USD/tonne),1921.02,"Cotton lint, ginned",2020,2020,7021,Annual value,USD,0.38
Producer Prices,Bulgaria,Producer Price (USD/tonne),1921.02,"Cotton lint, ginned",2021,2021,7021,Annual value,USD,0.54
Producer Prices,Bulgaria,Producer Price (USD/tonne),1921.02,"Cotton lint, ginned",2022,2022,7021,Annual value,USD,0.64
Producer Prices,Bulgaria,Producer Price (USD/tonne),1921.02,"Cotton lint, ginned",2023,2023,7021,Annual value,USD,0.64
Producer Prices,Bulgaria,Producer Price (USD/tonne),1232,Cucumbers and gherkins,2018,2018,7021,Annual value,USD,0.77
Producer Prices,Bulgaria,Producer Price (USD/tonne),1232,Cucumbers and gherkins,2019,2019,7021,Annual value,USD,0.72
Producer Prices,Bulgaria,Producer Price (USD/tonne),1232,Cucumbers and gherkins,2020,2020,7021,Annual value,USD,0.72
Producer Prices,Bulgaria,Producer Price (USD/tonne),1232,Cucumbers and gherkins,2021,2021,7021,Annual value,USD,0.73
Producer Prices,Bulgaria,Producer Price (USD/tonne),1232,Cucumbers and gherkins,2022,2022,7021,Annual value,USD,0.73
Producer Prices,Bulgaria,Producer Price (USD/tonne),1232,Cucumbers and gherkins,2023,2023,7021,Annual value,USD,0.85
Producer Prices,Bulgaria,Producer Price (USD/tonne),1233,Eggplants (aubergines),2018,2018,7021,Annual value,USD,0.21
Producer Prices,Bulgaria,Producer Price (USD/tonne),1233,Eggplants (aubergines),2019,2019,7021,Annual value,USD,0.23
Producer Prices,Bulgaria,Producer Price (USD/tonne),1233,Eggplants (aubergines),2020,2020,7021,Annual value,USD,0.29
Producer Prices,Bulgaria,Producer Price (USD/tonne),1233,Eggplants (aubergines),2021,2021,7021,Annual value,USD,0.26
Producer Prices,Bulgaria,Producer Price (USD/tonne),1233,Eggplants (aubergines),2022,2022,7021,Annual value,USD,0.28
Producer Prices,Bulgaria,Producer Price (USD/tonne),1233,Eggplants (aubergines),2023,2023,7021,Annual value,USD,0.28
